trial_id,w_g,braiding_phase,active_cubes,stability_score,version,timestamp,params
0,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:15.137418,"{'num_layers': 4, 'num_polarities': 24, 'max_facts': 36, 'gauge_strength': 0.86, 'omega_R': 0.0215}"
1,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.753362,"{'num_layers': 4, 'num_polarities': 12, 'max_facts': 42, 'gauge_strength': 0.84, 'omega_R': 0.023}"
2,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:15.636619,"{'num_layers': 3, 'num_polarities': 24, 'max_facts': 24, 'gauge_strength': 0.88, 'omega_R': 0.0235}"
3,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.333317,"{'num_layers': 3, 'num_polarities': 18, 'max_facts': 42, 'gauge_strength': 0.88, 'omega_R': 0.0235}"
4,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.467450,"{'num_layers': 3, 'num_polarities': 18, 'max_facts': 24, 'gauge_strength': 0.9, 'omega_R': 0.022}"
5,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.213926,"{'num_layers': 4, 'num_polarities': 12, 'max_facts': 48, 'gauge_strength': 0.84, 'omega_R': 0.0215}"
6,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:21.957993,"{'num_layers': 2, 'num_polarities': 24, 'max_facts': 48, 'gauge_strength': 0.88, 'omega_R': 0.0215}"
7,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:21.967088,"{'num_layers': 4, 'num_polarities': 12, 'max_facts': 36, 'gauge_strength': 0.86, 'omega_R': 0.023}"
8,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.294712,"{'num_layers': 3, 'num_polarities': 18, 'max_facts': 42, 'gauge_strength': 0.86, 'omega_R': 0.0225}"
9,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.292063,"{'num_layers': 3, 'num_polarities': 18, 'max_facts': 48, 'gauge_strength': 0.88, 'omega_R': 0.0235}"
10,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:22.048468,"{'num_layers': 3, 'num_polarities': 12, 'max_facts': 24, 'gauge_strength': 0.88, 'omega_R': 0.0235}"
11,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.301354,"{'num_layers': 3, 'num_polarities': 24, 'max_facts': 48, 'gauge_strength': 0.9, 'omega_R': 0.023}"
12,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.284001,"{'num_layers': 3, 'num_polarities': 18, 'max_facts': 30, 'gauge_strength': 0.86, 'omega_R': 0.023}"
13,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.329958,"{'num_layers': 3, 'num_polarities': 12, 'max_facts': 42, 'gauge_strength': 0.86, 'omega_R': 0.0235}"
14,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.750288,"{'num_layers': 3, 'num_polarities': 12, 'max_facts': 24, 'gauge_strength': 0.88, 'omega_R': 0.0215}"
15,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.762753,"{'num_layers': 4, 'num_polarities': 18, 'max_facts': 42, 'gauge_strength': 0.86, 'omega_R': 0.0215}"
16,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.316137,"{'num_layers': 3, 'num_polarities': 12, 'max_facts': 42, 'gauge_strength': 0.86, 'omega_R': 0.0225}"
17,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.264760,"{'num_layers': 4, 'num_polarities': 24, 'max_facts': 42, 'gauge_strength': 0.86, 'omega_R': 0.0215}"
18,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:21.978924,"{'num_layers': 2, 'num_polarities': 18, 'max_facts': 42, 'gauge_strength': 0.88, 'omega_R': 0.0215}"
19,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.313149,"{'num_layers': 2, 'num_polarities': 18, 'max_facts': 30, 'gauge_strength': 0.9, 'omega_R': 0.023}"
20,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.452279,"{'num_layers': 4, 'num_polarities': 18, 'max_facts': 36, 'gauge_strength': 0.84, 'omega_R': 0.0215}"
21,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.449084,"{'num_layers': 4, 'num_polarities': 24, 'max_facts': 36, 'gauge_strength': 0.88, 'omega_R': 0.0225}"
22,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.751464,"{'num_layers': 4, 'num_polarities': 18, 'max_facts': 36, 'gauge_strength': 0.88, 'omega_R': 0.0225}"
23,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.326718,"{'num_layers': 4, 'num_polarities': 12, 'max_facts': 24, 'gauge_strength': 0.9, 'omega_R': 0.0235}"
24,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.263031,"{'num_layers': 2, 'num_polarities': 12, 'max_facts': 42, 'gauge_strength': 0.86, 'omega_R': 0.0225}"
25,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:21.969767,"{'num_layers': 2, 'num_polarities': 12, 'max_facts': 24, 'gauge_strength': 0.88, 'omega_R': 0.022}"
26,111.408,0.8145,8,8.0,v10.8,2026-04-17T04:02:18.350608,"{'num_layers': 2, 'num_polarities': 24, 'max_facts': 36, 'gauge_strength': 0.88, 'omega_R': 0.0235}"
